Sl.,Grade,Subject,Chapter No.,Chapter,Section Number,Section,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
44,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"For the numbers m = 2 cubed x 3 squared x 5 and n = 2 squared x 3 cubed x 7 from the previous question, what is LCM(m, n)?",2 squared x 3 squared x 5 x 7,2 cubed x 3 cubed x 5 x 7,2 cubed x 3 squared x 5 x 7,2 squared x 3 cubed x 5,B,5
45,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"A student factorises 32760 using a factor tree and obtains 2x2x2x3x3x5x7x13. Written using powers of primes, this is",2 cubed x 3 squared x 5 x 7 x 13,2 squared x 3 cubed x 5 x 7 x 13,2 cubed x 3 squared x 5 squared x 7 x 13,2 cubed x 3 squared x 5 x 7 squared x 13,A,5
46,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Two positive integers are such that one is 3 times the other, say b and 3b. What is HCF(b, 3b) in terms of b?",1,b,3b,3,B,5
47,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Given that the HCF of two numbers is 1 (they share no common prime factors), what can be concluded about their LCM using the relation HCF times LCM equals the product of the numbers?",The LCM equals the product of the two numbers,The LCM equals 1,The LCM equals the HCF,The LCM cannot be determined,A,5
48,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"According to the chapter, a number s is called irrational if it cannot be written in the form","p + q, where p and q are integers","p/q, where p and q are integers and q is not zero","p x q, where p and q are irrational","p - q, where p and q are natural numbers",B,1
49,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Theorem 1.2 in the chapter states: if p is a prime number and p divides a squared, then","p divides a, where a is a positive integer",a divides p,p equals a,a squared is also prime,A,1
50,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,Theorem 1.3 in the chapter proves which of the following results?,root 2 is irrational,root 2 is rational,2 is irrational,root 4 is irrational,A,1
51,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,The proof technique used to establish that root 2 is irrational is called,direct substitution,proof by contradiction,mathematical induction,proof by exhaustion,B,1
52,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"As recalled from Class IX in this chapter, the sum or difference of a rational number and an irrational number is",always rational,always irrational,always zero,"sometimes rational, sometimes irrational",B,1
53,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"As recalled from Class IX in this chapter, the product or quotient of a non-zero rational number and an irrational number is",always rational,always irrational,always an integer,always zero,B,1
54,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In the proof of Theorem 1.3, the assumption made 'to the contrary' is that",root 2 is irrational,root 2 is rational,root 2 equals 2,root 2 is a prime number,B,2
55,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In the proof of Theorem 1.3, after assuming root 2 = a/b with a and b coprime, squaring and rearranging gives",a squared = 2 b squared,b squared = 2 a squared,a = 2b,a squared + b squared = 2,A,2
56,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In the proof of Theorem 1.3, once it is shown that 2 divides a, the text writes a as",a = b + 2,a = 2c for some integer c,a = c/2,a = 2 + c,B,2
57,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In the proof of Theorem 1.3, the final contradiction arises because","a and b turn out to have 2 as a common factor, contradicting that they are coprime",b turns out to be zero,a turns out to be a fraction,2 turns out to be a composite number,A,2
58,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In Example 5, which prime number is used with Theorem 1.2 to prove that root 3 is irrational?",2,3,5,7,B,2
59,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In Example 6, which two types of numbers are combined to show that 5 minus root 3 is irrational?",Two irrational numbers,A rational number and an irrational number,Two rational numbers,Two prime numbers,B,2
60,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In Example 7, the number 3 times root 2 is shown to be irrational because it is the product of",a non-zero rational number and an irrational number,two irrational numbers,two rational numbers,zero and an irrational number,A,2
61,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,Which of the following is classified as an irrational number in the chapter's list of examples?,"0.101101110... (non-terminating, non-repeating)",0.5,22/7 written as a fraction,0,A,3
62,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"By Theorem 1.2, if a prime number 5 divides a squared for some positive integer a, what can be concluded?",5 divides a,5 divides a only if a is even,a must equal 5,a squared must equal 25,A,3
63,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Using the method of Theorem 1.3, if 3 divides a squared for a positive integer a, then by Theorem 1.2",3 divides a,a divides 3,a must be a multiple of 9,a must be irrational,A,3
64,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,Which of the following numbers can be proved irrational using the same coprime-based contradiction method used for root 2 and root 3 in the chapter?,root 5,root 4,root 9,root 16,A,3
65,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"According to the chapter, which of the following is irrational?",7 + root 5,4 + 4,1/2 + 1/3,0 + 5,A,3
66,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Which of the following is irrational, based on the rule that a product of a non-zero rational and an irrational number is irrational?",7 times root 5,7 times 0,(1/7) times 7,5 times 4,A,3
67,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"According to the chapter's rule, which expression below is irrational?",6 + root 2,6 + 4,1 + 1,3 x 3,A,3
68,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Which of the following numbers is irrational, applying the rule for quotients of rational and irrational numbers?",1 divided by root 2,2-Jan,2-Apr,3-Sep,A,3
69,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"To prove root 5 is irrational using the chapter's method, one assumes root 5 = a/b with a, b coprime, then squares to get a squared = 5 b squared. By Theorem 1.2, this means",5 divides a,5 divides b only,a and b share no common factor,b divides 5,A,4
70,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Continuing the proof that root 5 is irrational, after writing a = 5c, substituting into a squared = 5 b squared gives 25 c squared = 5 b squared, which simplifies to",b squared = 5 c squared,b squared = 25 c squared,b = 5 c squared,c squared = 5 b squared,A,4
71,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In the proof that root 5 is irrational, the final contradiction is that",a and b both turn out to be even,"a and b both turn out to be divisible by 5, contradicting that they are coprime",b turns out to equal zero,a turns out to be negative,B,4
72,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"To show that 3 + 2 root 5 is irrational, one assumes it equals a rational number a/b and isolates root 5 on one side. Since a, b are integers, this would make root 5 equal to an expression that is","a rational number, contradicting that root 5 is irrational","an irrational number, which is expected",zero,a prime number,A,4
73,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,A student wants to prove 6 + root 2 is irrational. Which fact from the chapter should be used first?,The product of two irrationals is always irrational,The sum of a rational and an irrational number is irrational,Every composite number has a unique prime factorisation,HCF times LCM equals the product of two numbers,B,4
74,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"To prove 7 times root 5 is irrational, which chapter fact is directly applicable?",The product of a non-zero rational number and an irrational number is irrational,The sum of two rationals is rational,Every prime number divides some composite number,The quotient of two irrationals is always rational,A,4
75,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Comparing the proofs of 'root 2 is irrational' and 'root 3 is irrational' in the chapter, both proofs rely on","Theorem 1.2, applied with the respective prime number",the Fundamental Theorem of Arithmetic applied to decimal expansions,Euclid's division algorithm,the factor tree method,A,4
76,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"If a student incorrectly assumes that r and s in root 2 = r/s can share a common factor greater than 1 without adjusting them to be coprime, which step of the proof breaks down?","The final contradiction, which specifically requires r and s to be coprime",The initial squaring step,The definition of a prime number,The statement of Theorem 1.2,A,4
77,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Which of these best explains why 1 divided by root 2 is irrational, using chapter reasoning?",It is the quotient of a non-zero rational number (1) and an irrational number (root 2),It is the quotient of two irrational numbers,It is a repeating decimal,It is equal to a whole number,A,4
78,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"A student claims: 'Since root 2 and root 3 are both irrational, root 2 + root 3 must always be irrational, and this can be proved using Theorem 1.2 directly.' What is the flaw in relying only on Theorem 1.2 here?",Theorem 1.2 concerns a prime dividing the square of an integer; it does not by itself address sums of two irrational numbers such as root 2 + root 3,There is no flaw; Theorem 1.2 directly proves this,Theorem 1.2 only applies to rational numbers,"Theorem 1.2 proves the opposite, that root 2 + root 3 is rational",A,5
79,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"A student claims that since the sum of a rational and an irrational number is irrational, the sum of two irrational numbers must also always be irrational. Considering root 2 and minus root 2, which observation shows this claim is not always true?","root 2 + (minus root 2) = 0, which is rational, showing the sum of two irrationals need not be irrational","root 2 + (minus root 2) is irrational, confirming the claim",root 2 + root 3 is rational,There is no such case possible,A,5
80,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In proving root 2 is irrational, suppose a student stops after showing '2 divides a' and concludes the proof is complete without going further. What crucial step have they skipped?","Showing that 2 also divides b, which then contradicts that a and b are coprime",Showing that a is a prime number,Showing that b squared is even,Showing that a equals 2,A,5
81,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Which of the following, based strictly on the chapter's stated rules, is guaranteed to be irrational?",root 2 times root 2,3 minus root 3,0 times root 5,root 4 + root 9,B,5
82,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,A student mistakenly believes that 0 times root 7 is irrational because root 7 is irrational. What does the chapter's stated rule actually require for the product rule to apply?,The rational number in the product must be non-zero,The irrational number must be a perfect square,Both numbers in the product must be irrational,The rational number must be negative,A,5
83,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"To prove that 6 + root 2 is irrational by contradiction, a student assumes 6 + root 2 = a/b (a, b integers, b not zero). Rearranging gives root 2 = (a - 6b)/b, a single fraction of integers. The contradiction obtained is that","root 2 would have to be rational, contradicting the known fact that root 2 is irrational",a would have to equal b,6 would have to be irrational,b would have to equal zero,A,5
84,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,Which pair correctly matches a chapter example with the reasoning technique it primarily uses?,'root 2 is irrational' - proof by contradiction using coprime integers,'root 2 is irrational' - direct substitution of values,'5 - root 3 is irrational' - factor tree method,'3 root 2 is irrational' - Euclid's division algorithm,A,5
85,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"In the proof that root 3 is irrational, suppose a student writes b root 3 = a, squares to get 3 b squared = a squared, and concludes directly that 'b divides a' instead of '3 divides a squared'. What error has been made?","Misapplying Theorem 1.2, which concludes that the prime 3 divides a, not that b divides a",No error; both conclusions are equivalent,The error is in the squaring step,The error is assuming a and b are coprime,A,5
86,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,"Which of the following statements about irrational numbers, as supported by the chapter's content, is correct?",Every irrational number has a decimal expansion that is non-terminating and non-recurring,Every irrational number can be written as p/q with q not zero,The sum of two irrational numbers is always irrational,Irrational numbers cannot be located on the number line,A,5
87,10,Maths,1,Real Numbers,0,1.3 Revisiting Irrational Numbers,A student proves '7 + root 5 is irrational' and separately '7 times root 5 is irrational' using two different chapter rules. Which pair of rules did they use respectively?,Sum of rational and irrational is irrational; product of non-zero rational and irrational is irrational,Both use the same rule about products of two irrationals,Both use Theorem 1.2 directly,Sum of two irrationals is irrational; quotient of two rationals is irrational,A,5
88,10,Maths,1,Real Numbers,0,1.4 Summary,The Summary section lists the main points studied in the chapter. Which of these is one of them?,The quadratic formula,The Fundamental Theorem of Arithmetic,The Pythagoras theorem,Trigonometric ratios,B,1
89,10,Maths,1,Real Numbers,0,1.4 Summary,"According to the chapter's Summary, which of the following is listed as a key point studied?","If p is a prime and p divides a squared, then p divides a",Every rational number is irrational,Every prime number is even,HCF is always greater than LCM,A,1
90,10,Maths,1,Real Numbers,0,1.4 Summary,The Summary states that the chapter proved which numbers to be irrational?,4 and 9,root 2 and root 3,1 and 0,10 and 20,B,1
91,10,Maths,1,Real Numbers,0,1.4 Summary,"The Note to the Reader at the end of the chapter points out that a certain formula, which holds for two numbers, does not simply extend to three numbers. Which formula is this?","HCF(p, q) times LCM(p, q) = p times q",p + q = q + p,p times q = q times p,"HCF(p, q) = HCF(q, p)",A,2
92,10,Maths,1,Real Numbers,0,1.4 Summary,"The Note to the Reader gives a corrected formula for LCM(p, q, r) in terms of pairwise HCFs and HCF(p, q, r). This formula involves dividing p times q times r times HCF(p, q, r) by","HCF(p, q) + HCF(q, r) + HCF(p, r)","HCF(p, q) times HCF(q, r) times HCF(p, r)","LCM(p, q) times LCM(q, r)",p + q + r,B,2
93,10,Maths,1,Real Numbers,0,1.4 Summary,"Similarly, the Note to the Reader gives a corrected formula for HCF(p, q, r) by dividing p times q times r times LCM(p, q, r) by","LCM(p, q) + LCM(q, r) + LCM(p, r)","HCF(p, q) times HCF(q, r) times HCF(p, r)","LCM(p, q) times LCM(q, r) times LCM(p, r)",p times q times r,C,2
94,10,Maths,1,Real Numbers,0,1.4 Summary,"Based on the Summary, if a positive integer a is such that a prime p divides a squared, which conclusion from the chapter directly applies?",p divides a,a divides p,a is itself prime,p equals a,A,3
95,10,Maths,1,Real Numbers,0,1.4 Summary,"Based on the chapter's summary point about the Fundamental Theorem of Arithmetic, the number 60 can be expressed uniquely (apart from order) as a product of primes as",2 squared x 3 x 5,2 x 3 squared x 5,2 squared x 15,4 x 3 x 5,A,3
96,10,Maths,1,Real Numbers,0,1.4 Summary,"Applying the summary fact that root 2 and root 3 are irrational, which of these numbers is also irrational by the sum rule recalled in the chapter?",4 + root 3,2 + 2,1/2 + 1/2,3-Mar,A,3
97,10,Maths,1,Real Numbers,0,1.4 Summary,"Using the corrected three-number LCM formula noted at the end of the chapter, if HCF(p,q,r) = 1 and the pairwise HCFs HCF(p,q), HCF(q,r), HCF(p,r) are all also 1, the formula simplifies LCM(p,q,r) to",p times q times r,p + q + r,1,"HCF(p, q, r)",A,4
98,10,Maths,1,Real Numbers,0,1.4 Summary,"A student uses the two-number relation HCF times LCM equals product to wrongly compute HCF(6,72,120) times LCM(6,72,120) and expects it to equal 6 times 72 times 120. Based on the chapter's Remark restated in the Note to the Reader, this expectation is","correct, since the relation always extends to three numbers","incorrect, since the chapter explicitly shows this product relation fails for three numbers","correct, but only for even numbers","incorrect, because HCF cannot be computed for three numbers",B,4
99,10,Maths,1,Real Numbers,0,1.4 Summary,"Given three positive integers p, q, r, the Note to the Reader implies that to correctly compute LCM(p,q,r) using the corrected formula, one needs all of the following EXCEPT","HCF(p, q, r)","HCF(p, q), HCF(q, r), HCF(p, r)","p, q, r themselves","the individual prime factorisation of p, q and r worked out separately",D,5
100,10,Maths,1,Real Numbers,0,1.4 Summary,"A student incorrectly assumes that HCF(p,q,r) can be found directly as p times q times r divided by LCM(p,q,r) alone, without using pairwise LCMs. Based on the Note to the Reader's corrected formula, why is this assumption wrong?","Because the correct formula also requires dividing by the pairwise LCMs, LCM(p,q) times LCM(q,r) times LCM(p,r)","Because HCF(p,q,r) is always equal to 1","Because LCM(p,q,r) is always equal to p times q times r","Because the formula only works when p, q, r are prime",A,5
101,10,Maths,2,Polynomials,0,Introduction,What is the degree of a polynomial p(x)?,The highest power of the variable in p(x),The number of terms in p(x),The value of p(x) at x = 0,The number of variables in p(x),A,1
102,10,Maths,2,Polynomials,0,Introduction,A polynomial of degree 1 is called a:,Quadratic polynomial,Linear polynomial,Cubic polynomial,Constant polynomial,B,1
103,10,Maths,2,Polynomials,0,Introduction,A polynomial of degree 2 is called a:,Linear polynomial,Cubic polynomial,Quadratic polynomial,Biquadratic polynomial,C,1
104,10,Maths,2,Polynomials,0,Introduction,A polynomial of degree 3 is called a:,Quadratic polynomial,Cubic polynomial,Linear polynomial,Quartic polynomial,B,1
105,10,Maths,2,Polynomials,0,Introduction,The general form of a linear polynomial in x is:,"ax + b, where a ≠ 0","ax² + b, where a ≠ 0","ax + b, where a can be zero","a + bx², where a ≠ 0",A,1
106,10,Maths,2,Polynomials,0,Introduction,The general form of a quadratic polynomial in x is:,"ax + bx + c, where a ≠ 0","ax² + bx + c, where a ≠ 0","ax³ + bx + c, where a ≠ 0","ax² + b, where a ≠ 0",B,1
107,10,Maths,2,Polynomials,0,Introduction,The general form of a cubic polynomial in x is:,"ax² + bx + c, where a ≠ 0","ax³ + bx² + c, where a ≠ 0","ax³ + bx² + cx + d, where a ≠ 0","ax³ + b, where a ≠ 0",C,1
108,10,Maths,2,Polynomials,0,Introduction,"If k is a zero of the linear polynomial p(x) = ax + b, then k equals:",b/a,#NAME?,a/b,#NAME?,B,1
109,10,Maths,2,Polynomials,0,Introduction,Which of the following is a linear polynomial?,x² + 2x,3x - 7,x³ + 1,2x² - 5,B,2
110,10,Maths,2,Polynomials,0,Introduction,Which of the following is a quadratic polynomial?,5x - 2,x³ - x,2x² + 3x - 1,7,C,2
111,10,Maths,2,Polynomials,0,Introduction,Which of the following is a cubic polynomial?,3x² + x,x³ + 2x - 1,4x - 9,x² - 1,B,2
112,10,Maths,2,Polynomials,0,Introduction,Which of the following expressions is NOT a polynomial in x?,x² - 3x + 2,5x³ + x,1/(x-1) + 2,4x + 7,C,2
113,10,Maths,2,Polynomials,0,Introduction,The word 'quadratic' is derived from a word meaning:,Cube,Square,Line,Root,B,2
